"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/OurStuff/ModelUploads/lever/lambert3.lambert3","0","14","14","1","33.811153","0","16"
"/Game/OurStuff/ModelUploads/lever/lambert1.lambert1","0","14","14","1","0.000000","0","16"
"/Game/OurStuff/ModelUploads/Leaf.Leaf","0","14","14","1","0.000000","0","16"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","33","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","12","1","0.000000","0","0"
"/Game/starterStuff/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","44","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","4","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","26","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/rocks/rock.rock","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/pedestal/pedestalBroken.pedestalBroken","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/pedestal/pedestal.pedestal","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/LEAF/Leaf.Leaf","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/hangingPlats/hangerBroken.hangerBroken","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/hangingPlats/hanger.hanger","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/hammer/hammer.hammer","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/Vine_Body.Vine_Body","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/UV_Grid.UV_Grid","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/lambert2.lambert2","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/ModelUploads/Cage.Cage","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/materials/basic/MAT_basicGreen.MAT_basicGreen","0","0","14","1","0.000000","0","0"
"/Game/OurStuff/materials/basic/MAT_basicRed.MAT_basicRed","0","0","14","1","0.000000","0","0"
